0.958305629,至高シリーズの豚汁とからあげを今日の夕飯に作りましたさいっこうでしたいつもカレーパウダーで作っていたからあげをリュウジさんのレシピに変えたらむちゃむちゃ美味しかった豚汁も大好きなのでよく作ってましたがリュウジさんのレシピで作ったら全然違ったこれはハマりますありがとう
0.95722807,素晴らしい料理を本当に毎日ありがとうございます大好物の豚汁でしかも至高シリーズということで動画がアップロードされた瞬間に食材を購入しに行きました明日から妻が第一子出産予定日の為入院をします夫婦0人で食べる最後の食卓がそして本日のレシピでついに0レシピ目を迎えました夫婦揃って大好きなバズレシピを見て早速料理をしました本当は夕食あさりの酒蒸しでしたそれを食べてからの動画を見てその後急遽買い物行きました先程食べましたが本当に最高の味でしかありません豚の味噌汁ではなく豚汁名言ですリュウジさんも相も変わらず最高なテンションといつもの酒呑みっぷり最高の滑舌と最高のフレーズをありがとうございますこれからも夫婦共そして0人家族になってからもお世話になりますこれからも頑張って下さい本当に応援していますたくさんの動画いつも本当にありがとうございます
0.954922726,昨日作りましたがとても美味しく家族にも絶賛でしたあんなに旨味のある豚汁を食べたのは初めてでしたこの豚汁を完成させるまでに沢山の時間をかけたと思うしそのレシピをこうやって提供してくれるリュウジさんに改めて感謝したいですありがとうございます
0.952789475,今まで作っていた豚汁は何だったのかこんなに美味しい豚汁は衝撃でしたリユウジのバズレシピを毎日見るようになりました
0.952014112,0ヶ月前高0の娘が初めて麻婆豆腐を作ってくれました食べた瞬間めちゃくちゃ美味しくて0年も主婦をやってきた私は敗北を覚えました美味しさの裏にはリュウジさんがいましたそれからというもの多くの料理はリュウジさんの動画と共に作っています家族は皆んな美味しいご飯が出てくるので喜んでたくさん食べてます今回の豚汁も最高の美味しさでした白米の炊き方もリュウジさんに習って炊いたら家族全員に今日のお米いつものと違うって言われましたふっくらもちもちツヤツヤで最高でしたこれからもよろしくお願いします
0.951923707,自分用❶準備豚肉下味野菜ゴボウ大根人参ネギ蒟蒻切る❷炒めるごま油→ゴボウ焦げ目→肉焦げ目→根菜蒟蒻萎む❸煮る水0l味噌0白だし0酒0みりん0蓋なし0分❹仕上げニンニク生姜数分後にネギ
0.951296897,めちゃくちゃ美味しく出来ました肉野菜炒める事での旨味煮込む事で旨味が凝縮されにんにく生姜を後入れする事で風味最後リュウジお兄さんの動画見始めめてから料理が楽しいです
0.951257694,去年初めて作ったバズレシピがこれでしたそれなりに手間なので頻繁には作りませんが間違いない美味しさなので何度もリピしてます寒くなってきたしまた需要が増えますねー皆にオススメしたい至高の豚汁レシピです
0.951076463,リュウジさんのレシピ大好きですどれも美味しいぺぺたまも何回もリピしてますこの至高の豚汁は私の中でダントツ大ヒットです°°我が家の豚汁はこれに決まりました最高なレシピに感謝です
0.950889682,飲みながらこの動画見て豚汁作りましたこの瞬間幸せすぎて最高でしたそして豚汁の味も今までのと段違いに美味しく作れましたありがとうございました
